Product ID,Product Code,Product Name,Category,subcategory,Price
1,96938,Detergent 120ml,Detergent,Detergent 120ml,19.84
2,52554,Soap 125gm - Normal,Soap,BS 125,8.33
3,22134,Soap 125gm - Red,Soap,BS 125,8.33
4,75443,Soap 125gm - blue,Soap,BS 125,8.33
5,99185,Soap 125gm - yellow,Soap,BS 125,8.33
6,39671,Soap 165gm - Normal,Soap,BS 165,10.83
7,98761,Soap 165gm - Red,Soap,BS 165,10.83
8,78236,Soap 165gm - blue,Soap,BS 165,10.83
9,27977,Soap 165gm - yellow,Soap,BS 165,10.83
10,77397,Soap 60gm - Normal,Soap,BS 60,3.5
11,91553,Soap 60gm - blue,Soap,BS 60,3.5
12,60001,Soap 60gm - Red,Soap,BS 60,3.5
13,46375,Soap 60gm - yellow,Soap,BS 60,3.5
14,24050,Soap 85gm - 24pcs Normal,Soap,BS 85,5.42
15,83150,Soap 85gm - Normal,Soap,BS 85,5.42
16,82733,Soap 85gm - Red,Soap,BS 85,5.42
17,11419,Soap 85gm - blue,Soap,BS 85,5.42
18,46533,Soap 85gm - yellow,Soap,BS 85,5.42
19,32787,Soap 85gm Normal 4 pcs - 3 EGP Discount,Soap,BS 85,23.33
20,29944,Soap 85gm Red 4 pcs - 3 EGP Discount,Soap,BS 85,5.42
21,74527,Detergent 50ml,Detergent,Detergent 50ml,53.56
22,41850,Detergent 500ml discounted 10%,Detergent,Detergent 500ml,47.83
23,82910,Detergent 1L discounted 10%,Detergent,Detergent 1 L 85 EGP,198.03
24,74501,Detergent 235ml,Detergent,Detergent Promo 235ml,38.66
25,42400,Detergent 750ml,Detergent,Detergent 750ml,147.72
26,70804,Detergent 245ml,Detergent,Detergent 245ml,38.67
27,53774,Detergent 500ml,Detergent,Detergent 500ml,74.36
28,14599,Detergent 750ml,Detergent,Detergent 750ml,108.06
29,32354,Detergent 1L,Detergent,Detergent 1 L,141.77
30,38028,Soap 115gm - Normal,Soap,BS 115,8.33
31,77034,Soap 115gm - Red,Soap,BS 115,8.33
32,84998,Soap 115gm - blue,Soap,BS 115,8.33
33,18730,Soap 115gm - yellow,Soap,BS 115,8.33
34,90274,SG 300ml,Shower gel,Shower gel 250ml,40.83
35,73955,SG 300ml Normal 2 Pcs with 50% discount,Shower gel,Shower gel 250ml,61.25
36,35742,SG 300ml Fresh 2 Pcs with 50% discount,Shower gel,Shower gel 250ml,61.25
37,72557,Soap 115gm - Normal 4 pcs 4EGP Discount,Soap,BS 115,31.33
38,90059,Soap 115gm - Red 4 pcs 4 EGP Discount,Soap,BS 115,31.33
39,44871,Soap 115gm - blue 4 pcs 4 EGP Discount,Soap,BS 115,31.33
40,71913,Soap 115gm - yellow 4 pcs 4 EGP Discount,Soap,BS 115,31.33
41,55894,Soap 165gm - Normal 4 pcs 4EGP Discount,Soap,BS 165,41.33
42,25237,Soap 165gm - Red 4 pcs 4 EGP Discount,Soap,BS 165,41.33
43,29213,Soap 165gm - blue 4 pcs 4 EGP Discount,Soap,BS 165,41.33
44,84712,Soap 165gm - yellow 4 pcs 4 EGP Discount,Soap,BS 165,41.33
45,52568,SG blue 300 ml blue 2 pcs with 50% discount,Shower gel,Shower gel 250ml,53.73
46,14778,SG Red 300 ml Red 2 pcs with 50% discount,Shower gel,Shower gel 250ml,53.73
47,74058,SG Red 300 ml,Shower gel,Shower gel 250ml,40.83
48,56345,SG blue 300 ml,Shower gel,Shower gel 250ml,40.83
49,44449,SG yellow 300 ml,Shower gel,Shower gel 250ml,40.83
50,63261,Detergent 500ml 2 pcs with 50% discount,Detergent,Detergent 500ml,118.96
